Theme	Comment sample
Mpox Symptoms	“……pox means pustules - like big pus-filled pimples. Pustules break open and leak fluid. The fluid can spread the disease. They leave scars called poxmarks, too…….”
Mpox Symptoms	“……symptoms typically present themselves within 1–4 weeks of exposure………”
Mpox Symptoms	“……I have a question about swollen lymph nodes. I realize this commonly presents in the early stages, but is there a timeframe that we know of when the swelling subsides?……”
Mpox Transmissions	“……spreads through surface transmission (cups etc) as does Meningococcal disease, which is fatal……”
Mpox Transmissions	“……unless we see significant changes in viral behavior towards more transmission from casual contact or surfaces, it's unlikely……”
Mpox Transmissions	“ ……question: are shoes (meaning, the soles of your shoes) a concern in regards to the spread? As in, if I walk around a public place and virus has been shed, is it likely I could track it in my home/other places via shoes?……”
Affected Body Parts	“……it can enter in through broken skin such as cuts, scrapes, scratches, as well as the mucous membranes that you mentioned……”
Affected Body Parts	“……effects your mucous membrane (wherever you are pink and moist)…….”
Affected Body Parts	“……it actually happened to me right as covid was blowing up, testing wasn't a thing and i still wonder if it was covid rash. hands, palms, arms, chest and back, legs, feet, toes and soles……”
International Travel	“……one person arrives with the virus at the airport, infects 2 people, those 2 people fly back to their countries, those 2 infect 4 more, those 4 fly back to their countries and infect 16 more……”
International Travel	“……that would require someone to willingly travel to Alabama to be Patient Zero……”
International Travel	“……I just read Monkeypox has been pretty common in Africa for a long time. I think we can blame more international travel for all of these pandemics……”
Social Media	“……instagram and other social media aren't reliable sources of information (outside of the pages of actual public health organizations and sometimes medical professionals, although even there your milage may vary)……”
Social Media	“……concerned at the number of women online on Tik Tok who have had this and I suspect the numbers will change rapidly with it now being a reportable disease to the CDC……”
Social Media	“……it stops if you get off the social media tit. Seriously. Search your feelings, you know its true……”
Safety Measures	“……I wore a mask and stayed indoors when I could and got my shots, boom done……”
Safety Measures	“……it's just chickenpox, no one will notice with my mask anyways…….”
Safety Measures	“……we do not have a vaccine for this we have it for smallpox a it seems given the similarities that one ‘works’.”
Government Interventions	“……the sense I'm getting isn't that people are afraid of dying but of catching it in general and there being another round of lockdowns (or similar restrictions again)……”
Government Interventions	“….the good news is that in the real world, our governments have always been truthful and honest and never done any shady shit ever and always looked out for our best interests……”
Government Interventions	“……the lockdowns were insanely ineffective, funneled money to big pharma and amazon as well as improved the democrats chances……”
Mpox Vaccination	“……we're about to go into pride weekend. We could easily target advice and vaccinations to people most likely to be impacted……”
Mpox Vaccination	“……pfizer gonna roll out a vaccine for this one too?………”
Mpox Vaccination	“……you really don't know what you're taking about. One of the required vaccines for kids (and adults get boosted every 10 years) is DTaP, for diphtheria, tetanus, and pertussis……”
Anti-Government	“……big pharma continuing to get massive government contract……”
Anti-Government	“……because the US government doesn't have any desire to take action on a public health emergency again after COVID……”
Anti-Government	“……this happened with HIV, governments just ignored the suffering and pushed stigmatisation to protect the people they gave a shit about……”
Homophobia	“……wildfire in the gay community and its going to be seen as homophobic to target the gale (male) community……”
Homophobia	“…….it's not just homophobic, it's also a strategy that has never worked in history. People got laid on Tinder even during the COVID lockdowns……”
Homophobia	“……this kind of homophobic attitude is precisely how the AIDs crisis got so out of control……”
